signup,mailin,sameday,ID,automatic,purges,absenteeexcuse,absenteenoexcuse,citizen,score,turnout
1,0,0,3,0,0,1,0,0,5,0.56
1,0,0,4,0,1,1,1,1,9,0.57
0,0,0,2,0,0,1,1,1,5,0.49
1,0,0,1,0,1,1,0,1,5,0.49
1,1,1,5,0,1,1,1,1,12,0.47
1,0,1,4,0,1,1,0,1,9,0.65
1,0,1,4,1,1,0,1,1,10,0.58
1,1,0,4,0,1,1,0,1,9,0.59
0,1,0,3,0,0,1,0,1,6,0.57
0,1,0,1,1,0,1,1,0,5,0.53
1,1,1,4,0,1,1,1,1,11,0.38
1,1,1,2,0,1,1,1,1,9,0.55
1,1,1,5,0,1,1,1,1,12,0.57
1,1,0,1,0,0,1,0,1,5,0.54
0,1,1,4,0,1,1,1,1,10,0.65
0,1,0,1,0,1,1,1,0,5,0.54
1,1,0,4,0,1,1,1,1,10,0.56
1,1,0,3,0,0,1,0,1,7,0.57
1,1,1,5,0,0,1,1,1,11,0.69
1,1,1,5,0,1,1,1,1,12,0.60
1,1,0,5,0,1,1,1,0,10,0.61
0,1,1,3,0,0,1,1,1,8,0.62
1,1,1,5,0,0,1,1,1,11,0.69
1,0,0,1,0,0,1,0,1,4,0.53
1,1,0,4,0,1,1,0,0,8,0.60
1,1,0,3,0,1,1,1,1,9,0.61
1,1,0,5,0,1,1,1,1,11,0.59
1,1,1,5,0,1,1,1,0,11,0.49
1,1,1,4,0,1,1,0,1,10,0.69
1,1,0,5,0,1,1,1,1,11,0.56
1,1,0,5,0,1,1,1,1,11,0.50
1,1,0,5,0,0,1,0,1,9,0.50
1,1,1,5,0,0,1,1,1,11,0.60
1,1,0,3,0,1,1,1,1,9,0.59
1,1,0,3,0,1,1,1,1,9,0.61
1,1,0,4,0,1,1,1,0,9,0.49
1,1,0,5,1,1,0,0,0,9,0.62
0,1,0,5,0,0,1,1,1,9,0.61
1,1,1,3,0,1,1,1,1,10,0.55
1,1,0,3,0,1,1,0,0,7,0.54
1,1,0,3,0,1,1,1,1,9,0.57
1,1,0,1,0,1,1,0,1,6,0.49
0,0,0,3,0,1,1,0,1,6,0.43
1,1,1,4,0,1,1,1,1,11,0.53
1,1,1,5,0,1,1,1,0,11,0.62
1,1,0,4,0,0,1,1,1,9,0.61
1,1,1,4,0,1,1,1,1,11,0.58
1,1,0,4,0,1,1,0,1,9,0.49
0,1,1,1,0,1,1,1,1,7,0.66
1,1,1,2,0,1,1,1,1,9,0.57
1,1,0,3,0,0,0,0,0,5,0.63
1,1,0,4,1,1,0,1,1,10,0.68
0,1,0,2,0,0,1,1,1,6,0.65
1,1,0,1,0,1,1,0,1,6,0.56
1,1,1,5,1,1,1,1,1,13,0.67
1,1,1,4,1,1,1,0,1,11,0.76
1,1,1,4,1,1,1,0,1,11,0.70
1,1,0,4,0,1,1,0,1,9,0.70
0,1,0,3,0,0,1,1,1,7,0.71
0,1,0,1,1,1,1,1,0,6,0.68
1,1,1,4,0,1,1,0,1,10,0.57
1,1,1,2,0,1,1,1,1,9,0.67
1,1,1,5,1,1,0,0,1,11,0.67
1,1,0,1,0,0,0,0,1,4,0.61
0,1,1,4,0,1,1,1,1,10,0.73
0,1,0,1,0,1,1,1,0,5,0.66
1,1,0,4,0,1,1,1,1,10,0.65
1,1,0,3,0,0,0,0,1,6,0.64
1,1,1,5,0,0,1,1,1,11,0.76
1,1,1,5,1,1,1,1,1,13,0.70
1,1,0,5,0,1,1,1,1,11,0.72
0,1,1,3,0,0,1,1,1,8,0.73
1,1,1,5,0,0,0,1,1,10,0.80
1,1,0,4,0,1,1,0,1,9,0.66
1,1,0,3,0,1,1,1,1,9,0.72
1,1,0,5,0,1,1,1,1,11,0.69
1,1,1,5,1,1,1,1,1,13,0.65
1,1,1,4,0,1,1,0,1,10,0.75
1,1,0,5,1,1,1,1,1,12,0.74
1,1,0,5,1,1,1,1,1,12,0.61
1,1,0,5,0,1,1,0,1,10,0.63
1,1,1,5,0,0,1,1,1,11,0.71
1,1,0,3,0,1,1,1,1,9,0.64
1,1,0,3,0,1,1,1,1,9,0.67
1,1,0,4,0,1,1,1,1,10,0.55
1,1,0,5,1,1,1,1,1,12,0.74
0,1,0,5,0,0,1,1,1,9,0.71
1,1,1,3,1,1,1,1,1,11,0.65
1,1,0,3,0,1,0,0,1,7,0.64
1,1,0,3,0,1,1,1,1,9,0.65
1,1,0,1,0,1,0,0,1,5,0.60
0,0,0,3,0,1,0,0,1,5,0.60
1,1,1,4,0,1,1,1,1,11,0.68
1,1,1,5,1,1,1,1,1,13,0.74
1,1,0,4,0,1,1,1,1,10,0.72
1,1,1,4,1,1,1,1,1,12,0.75
1,1,0,4,0,1,1,0,1,9,0.57
0,1,1,1,0,1,1,1,1,7,0.76
1,1,0,3,0,0,1,0,0,6,0.56
1,1,0,4,0,1,1,1,1,10,0.55
0,1,0,2,0,0,1,1,0,5,0.47
1,1,0,1,0,1,1,0,1,6,0.48
1,1,1,5,0,1,1,1,1,12,0.45
1,1,1,4,0,1,1,0,1,10,0.65
1,1,1,4,0,1,0,1,1,10,0.56
1,1,0,4,0,1,1,0,1,9,0.58
0,0,0,3,0,0,1,0,1,5,0.55
0,0,0,1,0,0,1,1,0,3,0.52
1,1,1,4,0,1,1,1,1,11,0.40
1,1,1,2,0,1,1,1,1,9,0.56
0,1,1,5,0,1,1,1,1,11,0.53
1,1,0,1,0,0,1,0,1,5,0.53
0,1,1,4,0,1,1,1,1,10,0.67
0,1,0,1,0,1,1,1,0,5,0.54
1,1,0,4,0,1,1,1,1,10,0.53
1,1,0,3,0,0,1,0,1,7,0.57
1,1,1,5,0,0,1,1,1,11,0.67
1,1,1,5,0,1,1,1,1,12,0.60
1,1,0,5,0,1,1,1,1,11,0.60
0,1,1,3,0,0,1,1,1,8,0.62
1,1,1,5,0,0,1,1,1,11,0.71
1,0,0,1,0,0,1,0,1,4,0.57
1,1,0,4,0,1,1,0,1,9,0.60
1,1,0,3,0,1,1,1,1,9,0.62
1,1,0,5,0,1,1,1,1,11,0.57
1,1,1,5,0,1,1,1,1,12,0.48
1,1,1,3,0,1,1,0,1,9,0.68
1,1,0,5,0,1,1,1,1,11,0.53
1,1,0,5,0,1,1,1,1,11,0.50
1,1,0,5,0,1,1,0,1,10,0.46
1,1,1,5,0,0,1,1,1,11,0.60
1,1,0,3,0,1,1,1,1,9,0.59
1,1,0,3,0,1,1,1,1,9,0.63
1,1,0,4,0,1,1,1,1,10,0.46
1,1,0,5,0,1,0,0,1,9,0.59
0,1,0,3,0,0,1,1,1,7,0.57
1,1,1,3,0,1,1,1,1,10,0.53
1,1,0,3,0,1,1,0,1,8,0.54
1,1,0,3,0,1,1,1,0,8,0.58
1,0,0,1,0,1,1,0,0,4,0.49
0,0,0,3,0,1,1,0,1,6,0.42
1,1,1,4,0,1,1,1,1,11,0.51
1,1,1,5,0,1,1,1,1,12,0.60
1,0,0,4,0,1,1,1,1,9,0.61
1,1,1,4,0,1,1,1,1,11,0.59
1,0,0,4,0,1,1,0,1,8,0.46
0,1,1,1,0,1,1,1,1,7,0.70
1,1,1,2,0,1,1,1,1,9,0.56
